City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,penzance,75,GB,1524138600,93,50.12,-5.53,55.4,5.82
89,ayan,0,TR,1524139597,40,40.67,33.6,62.56,5.41
90,east london,0,ZA,1524135600,52,-33.02,27.91,68.0,14.99
91,tigil,80,RU,1524139601,89,57.8,158.67,23.59,6.76
92,capreol,75,CA,1524135600,68,46.71,-80.92,24.8,18.34
93,kavieng,64,PG,1524139601,100,-2.57,150.8,82.27,5.19
94,wahiawa,75,US,1524137460,100,21.5,-158.02,75.2,3.36
95,santa fe,0,AR,1524139602,81,-31.62,-60.7,73.81,9.55
96,mozarlandia,36,BR,1524139602,76,-14.74,-50.57,76.15,9.78
97,lata,48,IN,1524139603,94,30.78,78.62,50.41,1.5
98,husavik,48,CA,1524139603,60,50.56,-96.99,28.81,2.51
99,punta arenas,75,CL,1524135600,93,-53.16,-70.91,46.4,9.17
100,okhotsk,32,RU,1524139604,99,59.36,143.24,19.36,2.95
101,saint-augustin,0,FR,1524139200,36,44.83,-0.61,82.4,12.75
102,barabinsk,0,RU,1524139604,55,55.35,78.35,39.43,8.99
103,bluff,36,AU,1524139605,52,-23.58,149.07,77.59,11.01
104,esfarayen,75,IR,1524135600,29,37.08,57.51,62.6,3.06
105,hobyo,20,SO,1524139605,100,5.35,48.53,81.73,4.74
106,karratha,0,AU,1524139382,31,-20.74,116.85,84.43,11.12
107,lagoa,0,PT,1524137400,40,37.14,-8.45,71.6,16.11
108,udachnyy,56,RU,1524139606,62,66.42,112.4,24.22,4.97
109,jamestown,0,AU,1524139607,57,-33.21,138.6,62.02,8.66
110,riberalta,75,BO,1524135600,94,-11.0,-66.08,75.2,2.62
111,baykalsk,0,RU,1524139607,81,51.52,104.15,26.38,2.39
112,hanmer springs,64,NZ,1524139608,65,-42.52,172.83,52.75,13.13
113,pecos,90,US,1524138900,24,31.42,-103.49,55.4,3.36
114,imbituba,0,BR,1524135600,73,-28.24,-48.67,71.6,10.29
115,emba,0,CY,1524139200,73,34.81,32.42,73.4,18.34
116,oktyabrskiy,0,RU,1524137400,33,55.61,37.97,59.0,22.37
117,eenhana,0,NA,1524135600,38,-17.48,16.34,87.8,3.36
118,sokoni,0,CD,1524139610,46,-12.89,28.78,82.54,3.62
119,ust-kut,68,RU,1524139610,46,56.78,105.75,28.81,5.41
120,yining,20,CN,1524139610,62,29.04,114.56,66.79,4.74
121,faya,75,SA,1524135600,53,18.39,42.45,73.4,18.34
122,wenatchee,1,US,1524135300,86,47.42,-120.31,44.6,8.05
123,san carlos de bariloche,40,AR,1524135600,81,-41.13,-71.31,51.8,6.93
124,tairua,56,NZ,1524139612,75,-37.02,175.85,59.23,5.41
125,taman,40,RU,1524137400,77,45.22,36.72,59.0,13.42
126,ponta do sol,0,BR,1524139612,65,-20.63,-46.0,68.41,4.41
127,thompson,20,CA,1524135600,86,55.74,-97.86,26.6,2.24
128,agirish,92,RU,1524139613,67,61.92,63.02,36.73,7.43
129,norman wells,75,CA,1524135600,71,65.28,-126.83,5.0,8.05
130,tooele,1,US,1524138960,38,40.53,-112.3,50.0,4.7
131,bosaso,20,SO,1524135600,79,11.28,49.18,86.0,18.34
132,altay,76,CN,1524139614,72,47.83,88.13,34.39,2.73
133,port alfred,0,ZA,1524139615,78,-33.59,26.89,68.14,14.14
134,isangel,48,VU,1524139615,100,-19.55,169.27,77.14,18.72
135,saint-philippe,90,CA,1524138900,80,45.36,-73.48,35.6,4.7
136,northam,0,GB,1524138600,56,51.04,-4.21,69.8,4.7
137,ilulissat,75,GL,1524138600,73,69.22,-51.1,23.0,11.41
138,puerto ayora,44,EC,1524139616,100,-0.74,-90.35,72.01,1.95
139,bauska,20,LV,1524138600,66,56.41,24.19,51.8,20.8
140,torbay,90,CA,1524136620,86,47.66,-52.73,37.4,11.41
141,savelugu,36,GH,1524139617,94,9.63,-0.83,86.41,12.12
142,hithadhoo,92,MV,1524139617,100,-0.6,73.08,78.94,15.48
143,bud,0,NO,1524138600,58,62.91,6.91,60.8,12.75
144,harper,1,US,1524138900,80,30.3,-99.24,46.4,10.22
145,novikovo,24,UA,1524139618,71,45.05,34.56,59.05,16.04
146,dunedin,8,NZ,1524139524,60,-45.87,170.5,54.46,12.12
147,mar del plata,0,AR,1524139464,52,-46.43,-67.52,63.91,26.11
148,lompoc,90,US,1524137700,100,34.64,-120.46,50.0,4.7
149,neepawa,75,CA,1524135600,79,50.23,-99.46,33.8,4.7
150,vaini,20,IN,1524139620,62,15.34,74.49,87.94,4.52
151,los llanos de aridane,75,ES,1524139200,64,28.66,-17.92,71.6,5.82
152,rio gallegos,0,AR,1524135600,71,-51.62,-69.22,51.8,24.16
153,isla mujeres,40,MX,1524134700,83,21.23,-86.73,77.0,5.82
154,esperance,20,TT,1524135600,88,10.24,-61.45,75.2,6.08
155,porto walter,88,BR,1524139622,94,-8.27,-72.74,74.26,2.95
156,srednekolymsk,0,RU,1524139622,91,67.46,153.71,15.31,3.74
157,waingapu,8,ID,1524139622,87,-9.65,120.26,76.96,4.63
158,manta,0,RO,1524139623,74,45.1,24.1,69.76,6.42
159,hasaki,20,JP,1524137400,87,35.73,140.83,60.8,5.82
160,milkovo,56,BG,1524139200,46,41.53,24.68,71.6,3.36
161,peniche,0,PT,1524137400,60,39.36,-9.38,71.6,8.05
162,yamada,75,JP,1524135600,59,36.58,137.08,62.6,2.24
163,necochea,80,AR,1524139513,94,-38.55,-58.74,64.0,5.19
164,kahului,20,US,1524135360,88,20.89,-156.47,71.6,13.87
165,lysychovo,8,UA,1524139625,42,48.48,23.27,63.46,5.97
166,fairbanks,1,US,1524135480,57,64.84,-147.72,28.4,9.1
167,winnemucca,90,US,1524138960,97,40.97,-117.74,33.8,2.73
168,mazagao,20,BR,1524135600,88,-0.12,-51.29,80.6,6.93
169,yellowknife,75,CA,1524135600,84,62.45,-114.38,6.8,8.05
170,poum,40,MK,1524137400,67,41.28,20.71,59.0,6.93
171,katihar,0,IN,1524139627,37,25.54,87.57,90.91,6.98
172,omboue,92,GA,1524139627,100,-1.57,9.26,82.99,4.63
173,khandyga,0,RU,1524139628,66,62.65,135.58,27.55,3.62
174,cookeville,90,US,1524138900,67,36.16,-85.5,44.6,5.82
175,ostrovnoy,80,RU,1524139628,95,68.05,39.51,28.27,19.73
176,port augusta,0,AU,1524135600,36,-32.49,137.76,75.2,4.7
177,joao pinheiro,8,BR,1524139629,71,-17.74,-46.17,71.74,8.1
178,clyde river,1,CA,1524135600,83,70.47,-68.59,-7.61,4.7
179,oneida,90,US,1524137700,93,41.07,-90.23,37.4,8.05
180,nishihara,1,JP,1524138960,67,35.74,139.53,62.6,8.99
181,coquimbo,90,CL,1524135600,93,-29.95,-71.34,53.6,6.93
182,saint george,20,GR,1524136800,38,39.45,22.34,75.2,13.87
183,iwanai,76,JP,1524139631,86,42.97,140.51,48.07,8.43
184,faanui,80,PF,1524139631,100,-16.48,-151.75,81.91,6.53
185,victor harbor,0,AU,1524137400,49,-35.55,138.62,69.8,9.17
186,balkhash,0,KZ,1524139632,69,46.84,74.98,51.49,10.56
187,kruisfontein,0,ZA,1524139632,80,-34.0,24.73,64.54,17.6
188,leningradskiy,56,RU,1524139632,80,69.38,178.42,6.67,5.53
189,mitsamiouli,40,KM,1524135600,74,-11.38,43.28,86.0,8.05
190,otradnoye,0,RU,1524137400,50,59.77,30.8,57.2,11.18
191,folldal,36,NO,1524139633,90,62.14,10.0,46.09,4.07
192,cidreira,24,BR,1524139634,74,-30.17,-50.22,73.36,3.96
193,katsuura,20,JP,1524135600,67,33.93,134.5,60.8,4.7
194,port pirie,0,AU,1524135600,36,-33.18,138.01,75.2,4.7
195,bubaque,0,GW,1524135600,57,11.28,-15.83,80.6,3.36
196,susanville,90,US,1524137700,86,40.42,-120.65,30.2,1.95
197,ranau,64,MY,1524139636,100,5.95,116.67,69.31,1.61
198,chapais,90,CA,1524136560,85,49.78,-74.86,24.8,13.87
199,tsaratanana,64,MG,1524139637,47,-16.8,47.65,89.38,3.62
200,marzuq,44,YE,1524139637,20,14.4,46.47,88.39,6.64
201,bethel,1,US,1524135180,80,60.79,-161.76,33.8,6.93
202,batemans bay,56,AU,1524139638,100,-35.71,150.18,59.5,2.95
203,croy,0,CH,1524136800,45,46.69,6.48,69.8,6.93
204,mogadishu,20,SO,1524139639,100,2.04,45.34,83.26,6.2
205,henderson,75,US,1524138960,18,36.04,-114.98,60.8,13.87
206,vila velha,20,BR,1524135600,83,-3.71,-38.6,80.6,11.41
207,henties bay,0,NA,1524139640,87,-22.12,14.28,70.66,8.99
208,kindu,24,CD,1524139640,39,-2.95,25.92,94.42,2.73
209,andra,48,RU,1524139640,72,62.52,65.89,33.49,7.54
210,atuona,64,PF,1524139641,100,-9.8,-139.03,81.82,16.49
211,rive-de-gier,0,FR,1524139200,33,45.53,4.62,78.8,4.7
212,port elizabeth,1,US,1524138900,57,39.31,-74.98,51.8,13.87
213,monte carmelo,20,BR,1524139642,74,-18.73,-47.5,69.31,9.22
214,broome,0,GB,1524138960,36,52.47,1.45,78.8,6.93
215,tautira,75,PF,1524137400,88,-17.73,-149.15,77.0,3.36
216,airai,8,TL,1524139643,89,-8.93,125.41,70.84,1.72
217,dikson,64,RU,1524139643,93,73.51,80.55,18.64,19.06
218,manyana,0,AU,1524135600,100,-35.26,150.51,64.4,4.7
