City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
180,sayyan,8,YE,1524006890,66,15.17,44.32,47.58,2.71
181,narsaq,64,GL,1524005400,49,60.91,-46.05,46.4,2.24
182,port hedland,0,AU,1524006000,35,-20.31,118.58,73.4,10.29
183,shetpe,0,KZ,1524006892,87,44.14,52.16,33.9,2.71
184,san andres,0,PH,1524006892,100,13.32,122.68,81.47,10.98
185,abha,0,SA,1524002400,67,18.22,42.5,59.0,3.36
186,tasiilaq,92,GL,1524005400,91,65.61,-37.64,33.8,2.24
187,norman wells,20,CA,1524006000,45,65.28,-126.83,24.8,10.29
188,katobu,92,ID,1524006894,100,-4.94,122.53,81.42,1.81
189,sept-iles,90,CA,1524004920,86,50.2,-66.38,30.2,23.04
190,septemvri,48,BG,1524006000,93,42.22,24.1,48.2,2.24
191,nyeri,76,KE,1524006896,100,-0.42,36.95,59.19,2.93
192,mandera,76,ET,1524006896,92,3.94,41.86,72.83,2.26
193,beyneu,20,KZ,1524006897,74,45.32,55.19,37.46,4.72
194,lapy,0,PL,1524006897,89,52.99,22.88,45.69,9.42
195,seoul,0,KR,1524006000,61,37.57,126.98,48.2,2.24
196,medicine hat,75,CA,1524006000,28,50.04,-110.68,57.2,14.99
197,meulaboh,92,ID,1524006898,100,4.14,96.13,76.43,5.39
198,roma,0,IT,1524005700,93,41.89,12.48,57.2,3.36
199,east london,0,ZA,1524006809,100,-33.02,27.91,74.45,8.41
200,tautira,40,PF,1524006000,70,-17.73,-149.15,87.8,14.99
201,ukiah,75,US,1524002160,33,39.15,-123.21,59.0,4.7
202,ancud,56,CL,1524006760,81,-41.87,-73.83,52.17,5.95
203,kruisfontein,0,ZA,1524006901,95,-34.0,24.73,60.77,4.94
204,nikolskoye,90,RU,1524004200,93,59.7,30.79,42.8,8.95
205,tsaratanana,12,MG,1524006901,67,-16.8,47.65,73.28,9.42
206,rawlins,90,US,1524005700,69,41.79,-107.24,33.8,21.92
207,salaverry,40,PE,1524002400,83,-8.22,-78.98,69.8,8.05
208,padang,44,ID,1524006903,100,-0.92,100.36,79.62,4.61
209,ocos,0,GT,1524002400,59,14.51,-92.19,89.6,11.41
210,broken hill,44,AU,1524006904,47,-31.97,141.45,67.47,5.61
211,mahebourg,75,MU,1524002400,94,-20.41,57.7,77.0,10.29
212,soe,24,EE,1524005400,93,57.91,26.05,41.0,12.75
213,dobryanka,0,RU,1524004200,85,58.45,56.42,23.0,4.47
214,saint-leu,0,RE,1524004200,83,-21.15,55.28,77.0,8.05
215,yabrud,0,SY,1524006000,35,33.97,36.66,55.4,4.7
216,marietta,1,US,1524004500,23,33.95,-84.55,77.0,12.75
217,pitimbu,0,BR,1524002400,83,-7.47,-34.81,78.8,5.82
218,belmonte,0,PT,1524006907,82,40.36,-7.35,42.5,0.81
219,dunedin,8,NZ,1524006907,65,-45.87,170.5,50.37,14.0
220,dangtu,0,CN,1524002400,93,31.57,118.49,50.0,6.71
221,beloha,80,MG,1524006908,74,-25.17,45.06,71.25,14.45
222,marquette,90,US,1524005280,79,46.54,-87.4,30.2,10.29
223,starosubkhangulovo,92,RU,1524006909,81,53.1,57.43,31.97,2.71
224,jining,0,CN,1524006909,72,35.41,116.58,60.95,11.65
225,kumo,24,NG,1524006910,47,10.05,11.21,85.47,8.63
226,montevideo,1,US,1524005460,56,44.94,-95.72,42.8,6.93
227,salalah,20,OM,1524001800,78,17.01,54.1,80.6,4.7
228,killybegs,92,IE,1524006911,85,54.63,-8.45,51.32,19.6
229,price,75,US,1524005580,24,39.6,-110.81,44.6,21.92
230,sangar,0,RU,1524006912,51,63.92,127.47,29.85,5.17
